Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","10","Australia","5419","Yield","236","Soybeans","1970","1970","hg/ha","10123","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","236","Soybeans","2019","2019","hg/ha","11298","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","1970","1970","hg/ha","12179","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","15","Wheat","2019","2019","hg/ha","16917","Fc","Calculated data"
"QCL","Crops and livestock products","11","Austria","5419","Yield","236","Soybeans","2019","2019","hg/ha","31467","Fc","Calculated data"
"QCL","Crops and livestock products","11","Austria","5419","Yield","15","Wheat","1970","1970","hg/ha","29445","Fc","Calculated data"
"QCL","Crops and livestock products","11","Austria","5419","Yield","15","Wheat","2019","2019","hg/ha","57372","Fc","Calculated data"
"QCL","Crops and livestock products","52","Azerbaijan","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","27613","Fc","Calculated data"
"QCL","Crops and livestock products","52","Azerbaijan","5419","Yield","236","Soybeans","2019","2019","hg/ha","5833","Fc","Calculated data"
"QCL","Crops and livestock products","52","Azerbaijan","5419","Yield","15","Wheat","2019","2019","hg/ha","31555","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","16862","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","47398","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","236","Soybeans","2019","2019","hg/ha","17731","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1970","1970","hg/ha","8740","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","2019","2019","hg/ha","30780","Fc","Calculated data"
"QCL","Crops and livestock products","57","Belarus","5419","Yield","15","Wheat","2019","2019","hg/ha","33268","Fc","Calculated data"
"QCL","Crops and livestock products","255","Belgium","5419","Yield","15","Wheat","2019","2019","hg/ha","93364","Fc","Calculated data"
"QCL","Crops and livestock products","15","Belgium-Luxembourg","5419","Yield","15","Wheat","1970","1970","hg/ha","38482","Fc","Calculated data"
"QCL","Crops and livestock products","23","Belize","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","19679","Fc","Calculated data"
"QCL","Crops and livestock products","23","Belize","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","57509","Fc","Calculated data"
"QCL","Crops and livestock products","23","Belize","5419","Yield","236","Soybeans","2019","2019","hg/ha","11045","Fc","Calculated data"
"QCL","Crops and livestock products","53","Benin","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","14667","Fc","Calculated data"
"QCL","Crops and livestock products","53","Benin","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","35702","Fc","Calculated data"
"QCL","Crops and livestock products","53","Benin","5419","Yield","236","Soybeans","2019","2019","hg/ha","10952","Fc","Calculated data"
"QCL","Crops and livestock products","18","Bhutan","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","20000","Fc","Calculated data"
"QCL","Crops and livestock products","18","Bhutan","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","40723","Fc","Calculated data"
"QCL","Crops and livestock products","18","Bhutan","5419","Yield","236","Soybeans","2019","2019","hg/ha","6813","Fc","Calculated data"
"QCL","Crops and livestock products","18","Bhutan","5419","Yield","15","Wheat","1970","1970","hg/ha","10159","Fc","Calculated data"
"QCL","Crops and livestock products","18","Bhutan","5419","Yield","15","Wheat","2019","2019","hg/ha","13137","Fc","Calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","13157","Fc","Calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","32040","Fc","Calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5419","Yield","236","Soybeans","1970","1970","hg/ha","15000","Fc","Calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5419","Yield","236","Soybeans","2019","2019","hg/ha","21548","Fc","Calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5419","Yield","15","Wheat","1970","1970","hg/ha","7000","Fc","Calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5419","Yield","15","Wheat","2019","2019","hg/ha","11993","Fc","Calculated data"
"QCL","Crops and livestock products","80","Bosnia and Herzegovina","5419","Yield","236","Soybeans","2019","2019","hg/ha","26316","Fc","Calculated data"
"QCL","Crops and livestock products","80","Bosnia and Herzegovina","5419","Yield","15","Wheat","2019","2019","hg/ha","38392","Fc","Calculated data"
"QCL","Crops and livestock products","20","Botswana","5419","Yield","15","Wheat","1970","1970","hg/ha","18947","Fc","Calculated data"
"QCL","Crops and livestock products","20","Botswana","5419","Yield","15","Wheat","2019","2019","hg/ha","6081","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","15169","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","60633","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","236","Soybeans","1970","1970","hg/ha","11439","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","236","Soybeans","2019","2019","hg/ha","31846","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","15","Wheat","1970","1970","hg/ha","9731","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","15","Wheat","2019","2019","hg/ha","26712","Fc","Calculated data"
"QCL","Crops and livestock products","26","Brunei Darussalam","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","19621","Fc","Calculated data"
"QCL","Crops and livestock products","26","Brunei Darussalam","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","19405","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","38548","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","60000","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","236","Soybeans","1970","1970","hg/ha","8301","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","236","Soybeans","2019","2019","hg/ha","19611","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","15","Wheat","1970","1970","hg/ha","29903","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","15","Wheat","2019","2019","hg/ha","52722","Fc","Calculated data"
"QCL","Crops and livestock products","233","Burkina Faso","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","9000","Fc","Calculated data"
"QCL","Crops and livestock products","233","Burkina Faso","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","21242","Fc","Calculated data"
"QCL","Crops and livestock products","233","Burkina Faso","5419","Yield","236","Soybeans","2019","2019","hg/ha","11568","Fc","Calculated data"
"QCL","Crops and livestock products","29","Burundi","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","14379","Fc","Calculated data"
"QCL","Crops and livestock products","29","Burundi","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","15002","Fc","Calculated data"
"QCL","Crops and livestock products","29","Burundi","5419","Yield","236","Soybeans","1970","1970","hg/ha","10000","Fc","Calculated data"
"QCL","Crops and livestock products","29","Burundi","5419","Yield","236","Soybeans","2019","2019","hg/ha","5628","Fc","Calculated data"
"QCL","Crops and livestock products","29","Burundi","5419","Yield","15","Wheat","1970","1970","hg/ha","5805","Fc","Calculated data"
"QCL","Crops and livestock products","29","Burundi","5419","Yield","15","Wheat","2019","2019","hg/ha","6402","Fc","Calculated data"
"QCL","Crops and livestock products","115","Cambodia","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","15898","Fc","Calculated data"
"QCL","Crops and livestock products","115","Cambodia","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","36271","Fc","Calculated data"
"QCL","Crops and livestock products","115","Cambodia","5419","Yield","236","Soybeans","1970","1970","hg/ha","8000","Fc","Calculated data"
"QCL","Crops and livestock products","115","Cambodia","5419","Yield","236","Soybeans","2019","2019","hg/ha","16189","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","8283","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","11664","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","236","Soybeans","2019","2019","hg/ha","14450","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","15","Wheat","2019","2019","hg/ha","13303","Fc","Calculated data"
"QCL","Crops and livestock products","33","Canada","5419","Yield","236","Soybeans","1970","1970","hg/ha","20848","Fc","Calculated data"
"QCL","Crops and livestock products","33","Canada","5419","Yield","236","Soybeans","2019","2019","hg/ha","26625","Fc","Calculated data"
"QCL","Crops and livestock products","33","Canada","5419","Yield","15","Wheat","1970","1970","hg/ha","17864","Fc","Calculated data"
"QCL","Crops and livestock products","33","Canada","5419","Yield","15","Wheat","2019","2019","hg/ha","33502","Fc","Calculated data"
"QCL","Crops and livestock products","37","Central African Republic","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","5512","Fc","Calculated data"
"QCL","Crops and livestock products","37","Central African Republic","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","16890","Fc","Calculated data"
"QCL","Crops and livestock products","39","Chad","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","9623","Fc","Calculated data"
"QCL","Crops and livestock products","39","Chad","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","15108","Fc","Calculated data"
"QCL","Crops and livestock products","39","Chad","5419","Yield","15","Wheat","1970","1970","hg/ha","15682","Fc","Calculated data"
"QCL","Crops and livestock products","39","Chad","5419","Yield","15","Wheat","2019","2019","hg/ha","18712","Fc","Calculated data"
"QCL","Crops and livestock products","40","Chile","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","30228","Fc","Calculated data"
"QCL","Crops and livestock products","40","Chile","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","66648","Fc","Calculated data"
"QCL","Crops and livestock products","40","Chile","5419","Yield","236","Soybeans","1970","1970","hg/ha","10000","Fc","Calculated data"
"QCL","Crops and livestock products","40","Chile","5419","Yield","15","Wheat","1970","1970","hg/ha","17654","Fc","Calculated data"
"QCL","Crops and livestock products","40","Chile","5419","Yield","15","Wheat","2019","2019","hg/ha","62860","Fc","Calculated data"
"QCL","Crops and livestock products","351","China","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","34162","Fc","Calculated data"
"QCL","Crops and livestock products","351","China","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","70562","Fc","Calculated data"
"QCL","Crops and livestock products","351","China","5419","Yield","236","Soybeans","1970","1970","hg/ha","10942","Fc","Calculated data"
"QCL","Crops and livestock products","351","China","5419","Yield","236","Soybeans","2019","2019","hg/ha","18666","Fc","Calculated data"
"QCL","Crops and livestock products","351","China","5419","Yield","15","Wheat","1970","1970","hg/ha","11476","Fc","Calculated data"
"QCL","Crops and livestock products","351","China","5419","Yield","15","Wheat","2019","2019","hg/ha","56294","Fc","Calculated data"
"QCL","Crops and livestock products","96","China, Hong Kong SAR","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","23669","Fc","Calculated data"
"QCL","Crops and livestock products","41","China, mainland","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","34025","Fc","Calculated data"
"QCL","Crops and livestock products","41","China, mainland","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","70601","Fc","Calculated data"
"QCL","Crops and livestock products","41","China, mainland","5419","Yield","236","Soybeans","1970","1970","hg/ha","10919","Fc","Calculated data"
"QCL","Crops and livestock products","41","China, mainland","5419","Yield","236","Soybeans","2019","2019","hg/ha","18668","Fc","Calculated data"
"QCL","Crops and livestock products","41","China, mainland","5419","Yield","15","Wheat","1970","1970","hg/ha","11475","Fc","Calculated data"
"QCL","Crops and livestock products","41","China, mainland","5419","Yield","15","Wheat","2019","2019","hg/ha","56298","Fc","Calculated data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","39944","Fc","Calculated data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","66325","Fc","Calculated data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5419","Yield","236","Soybeans","1970","1970","hg/ha","15246","Fc","Calculated data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5419","Yield","236","Soybeans","2019","2019","hg/ha","14026","Fc","Calculated data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5419","Yield","15","Wheat","1970","1970","hg/ha","18293","Fc","Calculated data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5419","Yield","15","Wheat","2019","2019","hg/ha","18871","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","32271","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","56712","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","236","Soybeans","1970","1970","hg/ha","19835","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","236","Soybeans","2019","2019","hg/ha","28128","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","15","Wheat","1970","1970","hg/ha","11828","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","15","Wheat","2019","2019","hg/ha","20798","Fc","Calculated data"
"QCL","Crops and livestock products","45","Comoros","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","11111","Fc","Calculated data"
"QCL","Crops and livestock products","45","Comoros","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","12817","Fc","Calculated data"
"QCL","Crops and livestock products","46","Congo","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","20000","Fc","Calculated data"
"QCL","Crops and livestock products","46","Congo","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","5980","Fc","Calculated data"
"QCL","Crops and livestock products","48","Costa Rica","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","18341","Fc","Calculated data"
"QCL","Crops and livestock products","48","Costa Rica","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","48585","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","10917","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","26996","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","236","Soybeans","2019","2019","hg/ha","14502","Fc","Calculated data"
"QCL","Crops and livestock products","98","Croatia","5419","Yield","236","Soybeans","2019","2019","hg/ha","31186","Fc","Calculated data"
"QCL","Crops and livestock products","98","Croatia","5419","Yield","15","Wheat","2019","2019","hg/ha","56114","Fc","Calculated data"
"QCL","Crops and livestock products","49","Cuba","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","19177","Fc","Calculated data"
"QCL","Crops and livestock products","49","Cuba","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","34843","Fc","Calculated data"
"QCL","Crops and livestock products","50","Cyprus","5419","Yield","15","Wheat","1970","1970","hg/ha","5517","Fc","Calculated data"
"QCL","Crops and livestock products","50","Cyprus","5419","Yield","15","Wheat","2019","2019","hg/ha","27828","Fc","Calculated data"
"QCL","Crops and livestock products","167","Czechia","5419","Yield","236","Soybeans","2019","2019","hg/ha","22745","Fc","Calculated data"
"QCL","Crops and livestock products","167","Czechia","5419","Yield","15","Wheat","2019","2019","hg/ha","57325","Fc","Calculated data"
"QCL","Crops and livestock products","51","Czechoslovakia","5419","Yield","15","Wheat","1970","1970","hg/ha","29456","Fc","Calculated data"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","43915","Fc","Calculated data"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","60186","Fc","Calculated data"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5419","Yield","236","Soybeans","1970","1970","hg/ha","9173","Fc","Calculated data"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5419","Yield","236","Soybeans","2019","2019","hg/ha","17041","Fc","Calculated data"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5419","Yield","15","Wheat","1970","1970","hg/ha","6069","Fc","Calculated data"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5419","Yield","15","Wheat","2019","2019","hg/ha","12168","Fc","Calculated data"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","7357","Fc","Calculated data"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","7603","Fc","Calculated data"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5419","Yield","236","Soybeans","1970","1970","hg/ha","8421","Fc","Calculated data"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5419","Yield","236","Soybeans","2019","2019","hg/ha","5444","Fc","Calculated data"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5419","Yield","15","Wheat","1970","1970","hg/ha","5300","Fc","Calculated data"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5419","Yield","15","Wheat","2019","2019","hg/ha","13109","Fc","Calculated data"
"QCL","Crops and livestock products","54","Denmark","5419","Yield","15","Wheat","1970","1970","hg/ha","44859","Fc","Calculated data"
"QCL","Crops and livestock products","54","Denmark","5419","Yield","15","Wheat","2019","2019","hg/ha","80957","Fc","Calculated data"
"QCL","Crops and livestock products","56","Dominican Republic","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","25293","Fc","Calculated data"
"QCL","Crops and livestock products","56","Dominican Republic","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","55292","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","26571","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","42744","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","236","Soybeans","1970","1970","hg/ha","9836","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","236","Soybeans","2019","2019","hg/ha","14624","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","15","Wheat","1970","1970","hg/ha","10626","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","15","Wheat","2019","2019","hg/ha","16444","Fc","Calculated data"
"QCL","Crops and livestock products","59","Egypt","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","54250","Fc","Calculated data"
"QCL","Crops and livestock products","59","Egypt","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","83726","Fc","Calculated data"
"QCL","Crops and livestock products","59","Egypt","5419","Yield","236","Soybeans","2019","2019","hg/ha","31429","Fc","Calculated data"
"QCL","Crops and livestock products","59","Egypt","5419","Yield","15","Wheat","1970","1970","hg/ha","27561","Fc","Calculated data"
"QCL","Crops and livestock products","59","Egypt","5419","Yield","15","Wheat","2019","2019","hg/ha","63789","Fc","Calculated data"
"QCL","Crops and livestock products","60","El Salvador","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","37169","Fc","Calculated data"
"QCL","Crops and livestock products","60","El Salvador","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","64150","Fc","Calculated data"
"QCL","Crops and livestock products","60","El Salvador","5419","Yield","236","Soybeans","1970","1970","hg/ha","14444","Fc","Calculated data"
"QCL","Crops and livestock products","60","El Salvador","5419","Yield","236","Soybeans","2019","2019","hg/ha","18108","Fc","Calculated data"
"QCL","Crops and livestock products","178","Eritrea","5419","Yield","15","Wheat","2019","2019","hg/ha","10000","Fc","Calculated data"
"QCL","Crops and livestock products","63","Estonia","5419","Yield","15","Wheat","2019","2019","hg/ha","50699","Fc","Calculated data"
"QCL","Crops and livestock products","209","Eswatini","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","30540","Fc","Calculated data"
"QCL","Crops and livestock products","209","Eswatini","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","33670","Fc","Calculated data"
"QCL","Crops and livestock products","209","Eswatini","5419","Yield","15","Wheat","1970","1970","hg/ha","27895","Fc","Calculated data"
"QCL","Crops and livestock products","209","Eswatini","5419","Yield","15","Wheat","2019","2019","hg/ha","18144","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","29636","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","236","Soybeans","2019","2019","hg/ha","23032","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","15","Wheat","2019","2019","hg/ha","29705","Fc","Calculated data"
"QCL","Crops and livestock products","62","Ethiopia PDR","5419","Yield","236","Soybeans","1970","1970","hg/ha","23636","Fc","Calculated data"
"QCL","Crops and livestock products","62","Ethiopia PDR","5419","Yield","15","Wheat","1970","1970","hg/ha","7549","Fc","Calculated data"
"QCL","Crops and livestock products","66","Fiji","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","18922","Fc","Calculated data"
"QCL","Crops and livestock products","66","Fiji","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","30000","Fc","Calculated data"
"QCL","Crops and livestock products","67","Finland","5419","Yield","15","Wheat","1970","1970","hg/ha","23322","Fc","Calculated data"
"QCL","Crops and livestock products","67","Finland","5419","Yield","15","Wheat","2019","2019","hg/ha","46264","Fc","Calculated data"
"QCL","Crops and livestock products","68","France","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","42177","Fc","Calculated data"
"QCL","Crops and livestock products","68","France","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","54682","Fc","Calculated data"
"QCL","Crops and livestock products","68","France","5419","Yield","236","Soybeans","2019","2019","hg/ha","26162","Fc","Calculated data"
"QCL","Crops and livestock products","68","France","5419","Yield","15","Wheat","1970","1970","hg/ha","34223","Fc","Calculated data"
"QCL","Crops and livestock products","68","France","5419","Yield","15","Wheat","2019","2019","hg/ha","77428","Fc","Calculated data"
"QCL","Crops and livestock products","69","French Guyana","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","15000","Fc","Calculated data"
"QCL","Crops and livestock products","74","Gabon","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","16301","Fc","Calculated data"
"QCL","Crops and livestock products","74","Gabon","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","30549","Fc","Calculated data"
"QCL","Crops and livestock products","74","Gabon","5419","Yield","236","Soybeans","2019","2019","hg/ha","8783","Fc","Calculated data"
"QCL","Crops and livestock products","75","Gambia","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","14347","Fc","Calculated data"
"QCL","Crops and livestock products","75","Gambia","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","3385","Fc","Calculated data"
"QCL","Crops and livestock products","73","Georgia","5419","Yield","236","Soybeans","2019","2019","hg/ha","33784","Fc","Calculated data"
"QCL","Crops and livestock products","73","Georgia","5419","Yield","15","Wheat","2019","2019","hg/ha","23341","Fc","Calculated data"
"QCL","Crops and livestock products","79","Germany","5419","Yield","236","Soybeans","2019","2019","hg/ha","29100","Fc","Calculated data"
"QCL","Crops and livestock products","79","Germany","5419","Yield","15","Wheat","1970","1970","hg/ha","37264","Fc","Calculated data"
"QCL","Crops and livestock products","79","Germany","5419","Yield","15","Wheat","2019","2019","hg/ha","73964","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","8873","Fc","Calculated data"
